question, answer
11. Rajzolja fel a víz fázisdiagramját. Jelölje az egyes halmazállapotok tartományait  valamint a légköri nyomáshoz tartozó olvadás- és forráspontokat! ,
12. Milyen részecskék vannak az atomrács rácspontjaiban  és azokat milyen kölcsönhatás tartja össze? ,Részecskék a rácspontokon: Semleges atomok; Kovalens kötés tartja össze a részecskéket; Az atomrács rácspontjaiban semleges atomok vannak amelyeket kovalens kötések tartanak össze.
13. Milyen részecskék vannak az ionrács rácspontjaiban  és azokat milyen kölcsönhatás tartja össze? ,Rácspontokon: ellentétes töltésű ionok; Összetartó erő: ionos kötés ;Az ionrács rácspontjaiban kationok és anionok vannak  amelyeket elektrosztatikus vonzóerők (ionkötések) tartanak össze.
14. Milyen részecskék vannak a fémrács rácspontjaiban  és azokat milyen kölcsönhatás tartja össze? ,Rácspontokon: fématomtörzsek; Összetartó erő: fémes kötés; A fémrács rácspontjaiban fématomok vannak  amelyeket delokalizált fémes kötés tart össze.
15. Milyen részecskék vannak a molekularács rácspontjaiban  és azokat milyen kölcsönhatás tartja össze? ,Rácspontokon: molekulák. Összetartó erő: másodrendű kötések (dipole-dipol diszperziós hidrogén); Az ionrács rácspontjaiban kationok és anionok vannak  amelyeket elektrosztatikus vonzóerők (ionkötések) tartanak össze. A fémrács rácspontjaiban fématomok vannak  amelyeket delokalizált fémes kötés tart össze. A molekularács rácspontjaiban molekulák vannak  amelyeket másodlagos kémiai kötések (pl.: hidrogénkötés  dipólus-dipólus kölcsönhatás  London-féle diszperziós kölcsönhatás) tartanak össze.  
16. Definiálja az oldhatóság fogalmát! ,Megadja hogy adott mennyiségű oldószerben maximálisan mennyi anyag oldható föl. Mértékegysége g/100g; Az oldhatóság az a mennyiség amennyi anyag oldódik meg egy adott hőmérsékleten és nyomáson egy adott mennyiségű oldószerben.
17. Írja fel a gázok oldhatóságát leíró Henry-törvényt. Adja meg az egyes jelölések jelentését is! ,C=kP C: oldhatóság; k: Henry-állandó  amely függ a gáz és az oldószer minőségétől valamint a hőmérséklettől is; P: nyomás; 
18. Adjon meg két példát a „hasonló a hasonlóban oldódik” elv érvényesülésére! ,apoláros jód apoláros hexánban; poláros hidrogén-klorid poláros vízben
19. Írja fel a megoszlási hányadost definiáló egyenletet. Adja meg az egyes jelölések jelentését is! ,K=c1/c2; ahol a K a megoszlási hányados; c1 és c2 az oldott anyag koncentrációi
20. Írja fel a logP-t definiáló egyenletet. Adja meg az egyes jelölések jelentését is! ,logP = log(c1/c2); ahol c1 és c2 az oldott anyag koncentrációi; ahol logP: a megoszlási hányados dekádikus logaritmusa; C1: az anyag koncentrációja az egyik fázisban (pl.: oktanol); C2: az anyag koncentrációja a másik fázisban (pl.: víz) ,
21. Definiálja az ozmózis jelenségét. Nevezze meg az ozmózis hajtóerejét! ,Az ozmózis: Az oldószer mozgása egy magasabb oldószer koncentrációjú térrészből egy alacsonyabb oldószer-koncentrációjú térrészbe féligáteresztő membránon keresztül.; Hajtóerő: a koncentrációkülönbség.
22. Írja fel az ozmózisnyomást definiáló egyenletet. Adja meg az egyes jelölések jelentését is! , Π=i*c*R*T; Π = ozmózisnyomás; i = van’t Hoff faktor; c = az összes oldott anyag molaritása tehát: i·c; R = egyetemes gázállandó; T = hőmérséklet; 
23. Definiálja az ozmotikus koncentrációt és adja meg lehetséges mértékegységeit is! ,Egyszerű egykomponensű elektrolitok esetén az ozmotikus koncentráció a molaritásból és a van’t Hoff faktorból számolható: i·c mértékegység: osmol mosmol/l
24. Definiálja  hogy mit nevezünk izotóniás mit hipotóniás és mit hipertóniás oldatnak! ,Izotóniás oldat: az oldat ozmotikus koncentrációja megegyezik a sejtével.A sejt izotóniás oldatban: nincs nettó vízmozgás; Hipertóniás: az oldat ozmotikus koncentrációja nagyobb mint a sejté. A sejt hipertóniás oldatban: a víz kifelé mozog a sejt összehúzódik; Hipotóniás: az oldat ozmotikus koncentrációja kisebb mint a sejté. A sejt hipotóniás oldatban: a víz befelé mozog a sejt megduzzad (esetleg kipukkad = ozmolízis)
25. Mennyi a vérplazma normális ozmotikus koncentrációja? Adja meg a vérplazmával izotóniás NaCl-oldat molaritását és vegyesszázalékban kifejezett koncentrációját! , 300 mosmol/l; NaCl -0.15 mol/dm3; NaCl (0.9%)
26. Írja le egy mondatban  hogy a hemodialízis során milyen műveletet végzünk a vérrel és annak mi az eredménye. A leírásban szerepeltesse hogy milyen fizikai-kémiai jelenséget használunk ki! ,egy féligáteresztő hártya egyik oldalán a vért másik oldalán a dializálóoldatot áramoltatják (melyben a hasznos anyagok [glükóz aminosavak stb] izotóniásan jelen vannak) aminek eredményeként a vérből a salakanyagok anyagcsere melléktermékek a dialízisoldatba mennek át de a hasznos anyagok nem; a dialízis során a féligáteresztő hártya két oldalán lévő folyadékok eltérő koncentrációját használják ki a diffúzió által.; A hemodialízis során a vérplazmában lévő káros anyagokat a dialízis-szűrőn keresztül elválasztjuk miközben a vérplazma normális ozmotikus koncentrációja megmarad.; A folyamat az ozmózis jelenségét használja ki.
26.a Adja meg a kolloid állapot legalább 3 jellemzőjét! , méret : 1-1000nm -nagy fajlagos felület; diszperz rendszerek; szórják a fényt (Tyndall-jelenség); részecskék diffúziója igen lassú
27. Definiálja  mit nevezünk elektrolitnak. Mikor nevezünk egy elektrolitot erős elektrolitnak! , eletrolit: azok a vegyületek amelyeknek vizes oldata vagy olvadéka mozgékony töltéshordozók (anionok/kationok) révén vezetik az elektromos áramot; erősség: milyen mértékben találhatók a molekulák mellett a disszociáció eredményeképpen keletkezett ionok; erős : gyakorlatilag teljesen disszociál az oldat ionkoncentrációja igen magas; Elektrolit: olyan anyag amely vizes oldatban vagy olvadékban ionokra disszociál és így elektromos áramot vezet.; Erős elektrolit: olyan elektrolit amely vizes oldatban teljes mértékben disszociál ionokra.
28. Írjon példát reakcióegyenlettel az elektrolitikus disszociációra! ,def: Az elektrokémiában a semleges molekulák elektromosan töltött ionokra való szétesése; NaCl->Na+ + Cl-
29. Definiálja a disszociációfok fogalmát  és adja meg lehetséges értéktartományát! ,-Az egyensúlyra vezető reakcióknál megmutatja hogy mennyi a disszociált anyagmennyiség (mól) az összes kiindulási anyagmennyiséghez (mól) viszonyítva; értéktartománya 0-1 közötti érték (1=100%)
30. Brønsted és Lowry szerint mit nevezünk savnak  és mit nevezünk bázisnak! ,sav: proton donor; bázis: proton akceptor
31. Írjon fel egy reakciót  amelyben egy erősebb sav felszabadít egy gyengébb savat annak sójából! ,CH3COONa + HCl = NaCl + CH3COOH
32. Nevezzen meg egy amfoter anyagot  és egyenletekkel mutassa be  hogy miért amfoter! ,    H2O; savként: H2O + NH3 = OH- + NH4+; bázisként: H2O + HCl = H3O+ + Cl-;
33. Grafikonon ábrázolja az előrehaladó és a visszahaladó reakció sebességének időbeli változását kémiai egyensúlyra vezető folyamatban! ,
34. Írja fel a tömeghatás törvényét az aA + bB cC + dD egyensúlyra vezető reakcióra! ,  Kc = [C]^c * [D]^d / [A]^a * [B]^b  ahol Kc: egyensúlyi állandó; [A] [B] [C] [D]: az egyes anyagok egyensúlyi koncentrációi; a b c d az egyes anyagok sztöchiometriai együtthatói ,      
35. Mit mond ki Le Châtelier elve! ,    Ha egy kémiai egyensúlyi rendszerre külső hatás (koncentráció hőmérséklet nyomás) hat akkor az egyensúly eltolódik oly módon hogy a hatás eredményét csökkentse. 
36. Adja meg a víz ionszorzatát definiáló egyenletet  adja meg a szorzat számértékét mértékegységgel 25 °C-on! , K=[H3+]*[OH-]=1.00*10-14 mol/dm32
37. Írja fel a pH definícióját egyenlettel. Írja fel a pH és a pOH összefüggését egyenlettel! , pH=-log[H3O+]; pH + pOH = 14
38. Írja fel egy Brønsted-Lowry-féle gyenge bázis disszociációjának reakcióegyenletét és a folyamat egyensúlyi állandóját! ,
39. Írja fel egy gyenge sav Ks-értéke és a gyenge sav konjugált bázisának Kb-értéke közötti összefüggést egyenlettel! , KS * Kb = [A-] * [H+][HA]* [HA] * [OH-][A-]= [H+] * [OH-] = KV
40. Írjon le egy mondattal egy olyan jelenséget  amely bemutatja a közös ion hozzáadásának kémiai egyensúlyra gyakorolt hatását. Írjon reakcióegyenletet is! ,Az ezüst kromát telített oldatához ezüst-nitrátot adunk: a Le Châtelier-Braun elv alapján az ezüst-ionok megnövekedett koncentrációja a sókiválás irányába tolja el az egyensúlyt csökkentve az Ag2CrO4 oldhatóságát.
41. Kémiai összetétel szempontjából mit nevezünk puffernek? ,Puffernek nevezzük egy gyenge sav és annak konjugált bázisa; VAGY egy gyenge bázis és annak konjugált savja által alkotott rendszert.
42. Írja fel a Henderson-Hasselbalch-egyenletet  adja meg az egyes jelölések jelentését is! , pH = pKa + log([A-]/[HA]) ; ahol pH: az oldat pH-értéke; pKa: a gyenge sav disszociációs állandójának negatív dekádikus logaritmusa; [A-]: a gyenge sav konjugált bázisának koncentrációja; [HA]: a gyenge sav koncentrációja; pH = pKS + lg CsóCsav; Ahol pKs a gyenge sav disszociációs állandójának negatív 10-es alapú logaritmusa; Csav és Csó a gyenge sav és a konjugált bázis molaritása.
43. Definiálja a pufferkapacitás fogalmát! ,annak az egyértékű erős savnak vagy bázisnak a mólban kifejezett mennyiségét ami 1dm3 pufferben 1 egységnyi ph változást okoz
44. Adja meg kettő  az élő szervezetben működő pufferrendszer összetételét! ,szénsav-hidrogénkarbonát (vér); dihidrogénfoszfát-hidrogénfoszfát puffer (sejtek)
45. Rajzolja le egy olyan fémkomplex szerkezetét  amelyben a központi fématom (M) koordinációs száma 6 és csupa azonos egyfogú ligandum (L) veszi körül! ,
46. Rajzolja le egy kelátkomplex vázlatos szerkezetét. Emelje ki az ábrán  hogy mitől nevezzük a komplexet kelátkomplexnek! ,   
47. Definiálja a stabilitási állandót egyenlettel egy ML6 összetételű fémkomplexre! ,   Kst=[ML6]/[M][L]^6 ahol Kst: stabilitási állandó; [ML6]: a komplex koncentrációja; [M]: a központi fémion koncentrációja; [L]: a ligandum koncentrációja
48. Definiálja a nyílt  a zárt és az elszigetelt termodinamikai rendszerek fogalmát! ,nyílt: anyagot és energiát adhat le és vehet fel; zárt: anyagot nem de energiát adhat le és vehet fel; elszigetelt: se anyagot se energiát nem adhat le vagy vehet fel
49. Definiálja az exoterm és az endoterm folyamatok fogalmát! ,Endoterm: hőfelvétellel járó reakció általa a környezet lehűl ΔH>0; Exoterm: hőleadással járó reakció általa a környezet fölmelegszik ΔH<0
50. Írja fel a termodinamika I. főtételét egyenlettel. Adja meg az egyes jelölések értelmezését is! ,ΔE=Q+W ΔE: rendszer belső energiájának változása; Q: rendszer és környezete közötti hőcsere; W: munka
51. Definiálja a reakcióentalpia fogalmát egyenlettel. Adja meg az egyes jelölések értelmezését is! ,Egy rendszer teljes össz energiatartalma (“hőtartalma”). Függ a hőmérséklettől; H=E+pV; H: entalpia (Joule) E: rendszer energiatartalma pV: térfogati munka
52. Írja le  mit mond ki Hess tétele! ,A kémiai reakciókban a fölszabaduló hőmennyiség függ a reaktánsok kezdeti állapotától és mennyiségétől illetve a végtermék minőségétől de NEM függ a részreakciók sorrendjétől.
53. Definiálja az entrópia fogalmát! ,  Az entrópia a rendszer rendezetlenségének mértéke. Jele: S; Mértékegysége: J/K; A termodinamika II. főtétele szerint egy zárt rendszer entrópiája soha nem csökken.; Egy rendszer rendezetlenségi fokát jellemzi. Jele: S.  
54. Írja le  mit mond ki a termodinamika II. főtétele! ,A spontán lejátszódó folyamatokban az entrópia növekszik. Azaz a rendszer és a környezet teljes entrópiaváltozása pozitív.; ΔSrendszer+ΔSkörnyezet>0
55. Definiálja a Gibbs-féle szabadentalpia fogalmát egyenlettel. Adja meg az egyes jelölések értelmezését! , ΔG=ΔH-TxΔS; ΔG: szabadentalpia változás; T: hőmérséklet (K); ΔH: entalpiaváltozás; ΔS: entrópiaváltozás
56. Definiálja az exergonikus és az endergonikus folyamatok fogalmát! ,Exergonikus a folyamat amennyiben ΔG értéke negatív. Ekkor a folyamat spontán végbe mehet.; Endergonikus a folyamat amennyiben ΔG értéke pozitív. Ekkor a folyamat nem megy végbe spontán módon.
57. Írja le a kémiai reakciók iránya és az azokat kísérő szabadentalpia-változás közötti összefüggést! , A kémiai reakciók a szabadentalpia csökkenés irányába játszódnak le spontán módon. Egy reakció iránya megadható a Gibbs-egyenlet alapján.; ΔG=ΔH-TxΔS; Ha ΔG<0 akkor a reakció spontán; Ha ΔG>0 akkor a reakció nem spontán; Ha ΔG=0 akkor a rendszer egyensúlyban van.
58. Soroljon fel négy nagyenergiájú kötést tartalmazó vegyületet teljes névvel vagy szerkezeti képlettel! , ATP-adenozin-trifoszfát; ADP-adenozin-difoszfát; GTP-guanozin-trifoszfát; H4P2O7-pirofoszforsav
59. Definiálja a reakciósebesség fogalmát! ,A reakciósebesség megadja hogy milyen gyors az átalakulás mennyivel növekszik a termék koncentrációja vagy mennyivel csökken a kiindulási anyag koncentrációja időegység alatt.
60. Definiálja a felezési idő fogalmát! ,Az az időtartam amely alatt a reaktánsok koncentrációja a felére csökken.  
61. Rajzolja fel egy elemi reakció energiaprofilját az átmeneti állapot és az aktiválási energia feltüntetésével! ,A vízszintes tengely a reakciókoordinátát jelöli (a reakció előrehaladása); A függőleges tengely az energia szintet mutatja ; Kiindulási anyagok (reaktánsok): bal oldalon alacsonyabb energiaszinten; A görbe csúcsa az átmeneti állapot (transition state) ami a legmagasabb energiájú pont; Az aktiválási energia (Ea): a kiindulási anyagok és az átmeneti állapot közötti energia különbség. Termékek: jobb oldalon alacsonyabb energiaszinten ami azt jelzi hogy a reakció exoterm (energia felszabadul); Ha a termékek magasabb energiaszinten lennének az endoterm reakciót jelentene.
62. Adja meg a hőmérséklet és a reakciósebességi állandó összefüggését egyenlettel. Adja meg az egyes jelölések értelmezését is! ,k= Axe - Ea / RT; k: sebességi állandó; A:frekvencia faktor/arányossági tényező; Ea: aktiválási energia; R: egyetemes gázállandó; T: hőmérséklet (K)
63. Írja le  hogy mi alapján dönthető el  hogy egy reakciósorban melyik a sebességmeghatározó lépés! ,A sebességmeghatározó lépés a reakciómechanizmusban a leglassúbb lépés a legkisebb sebességi állandóval rendelkezik.; (A teljes reakció nem lehet gyorsabb mint a sebességmeghatározó lépés)
64. Grafikonon ábrázolja egy olyan többlépéses reakciósor kiindulási anyagának  köztitermékének és végtermékének koncentrációinak időbeli változását  ahol a köztitermék a folyamat jelentős részében stacionárius állapotban van! ,
65. Definiálja a katalizátor fogalmát  írja le  hogy milyen molekuláris szintű esemény(ek)en keresztül fejti ki a hatását! ,A katalizátor olyan anyag amely a sebességet azáltal növeli hogy csökkenti az aktiválási energiát ill. új reakcióutat nyit meg és a reakció után változatlanul visszanyerhető. Például: kisebb energiájú aktivált komplexumot képez.
66. Definiálja az oxidáció és a redukció fogalmát! ,oxidáció: elektronleadás (oxidációs szám növekedése); redukció: elektronfelvétel (oxidációs szám csökkenése).
67. Írja fel a redoxipotenciál leírására szolgáló Nernst-egyenletet adja meg az egyes jelölések értelmezését is! ,E = E° + (RT/nF) ln Q; E: redoxipotenciál; E°: standard redoxipotenciál; R: egyetemes gázállandó; T: hőmérséklet (K); n: elektronok száma; F: Faraday-állandó; Q: reakcióhányados
68. Írja le röviden  hogy hogyan mérhető meg egy redoxirendszer standard elektródpotenciálja! ,A standard elektródpotenciál abszolút értéke megegyezik annak a galvánelemnek az elektromotoros erejével amelyet egy standard hidrogénelektród és a vizsgált standardállapotú elektród összekapcsolásával hoztunk létre.
69. Írja fel az elektromotoros erő és a redoxireakció szabadentalpia-változása közötti összefüggést egyenlettel  adja meg az egyes jelölések értelmezését is! ,A galvánelem maximális elektromos munkavégző képessége (Eel) a redoxireakciót kísérő szabadentalpia-változással arányos: ΔG = -nFEel; ahol ΔG a redoxireakció szabadentalpiaváltozása; n a sztöchiometriai egyenlet szerint átadott elektronok anyagmennyisége; F a Faraday-állandó (965 00 C); és Eel az elektromotoros erő.
70. Írja fel a szuperoxid-gyök anion és a peroxid-anion képletét. Írja le röviden  hogy hogyan keletkezhetnek ezek a részecskék az élő sejten belül! ,Keletkeznek a terminális oxidációban; a hemoglobin oxigén felvételekor; a mikroszomális elektron transzportban; a flavoprotein működése közben
71. Írja fel az elemi oxigén kételektronos és négyelektronos redukciójának egyenleteit! ,O₂ + 2e⁻ → O₂²⁻ (kételektronos redukció); O₂ + 4e⁻ → O₂⁴⁻ (négyelektronos redukció) ,
72. Soroljon fel legalább négy reaktív oxigénszármazékot! , szingulett oxigén; szuperoxid anion; hidrogén-peroxid; hidroxi gyök
73. Adja meg a gyomorsav fő összetevőjét névvel és képlettel. Mennyi a gyomorsav jellemző pH-értéke! , A sósav (HCl) a gyomornedv( pH 1.1-2.6) alkotója biztosítja a pepszin működéséhez szükséges kémhatást; A gyomornedv sósavkoncentrációja ~0.1 mol/dm3; de egyes pufferoló hatású anyagok (fehérjék laktát) a gyomor pH-ját 1.8-2.2 értékre módosítják.
74. Nevezzen meg legalább négy  gyomorsav-megkötőként használt anyagot névvel és képlettel! , CaCO3 kalcium-karbonát; MgO magnézium-oxid; MgOH magnézium-hidroxid; Al2O3 alumínium-oxid
75. Írja fel azt a kémiai reakciót  amely klóros fertőtlenítő és sósav összeöntésekor végbemegy! ,NaOCl + HCl → NaCl + HOCl; HCl + HOCl <--->Cl2 + H2O
76. Írjon fel egy olyan reakcióegyenletet  amelyben a jód oxidálószerként viselkedik. Írja le egy szóval az elemi jód orvosi gyakorlatban játszott legfontosabb szerepét! ,Az elemi jód baktericid fungicid vírucid és protozoon ellenes hatású; alkoholos oldata külsőleges fertőtlenítőszer (jódtinktúra); I^- +ICN + H^+I2 + HCN
77. Írjon fel egy olyan reakcióegyenletet  amelyben a hidrogén-peroxid oxidálószerként viselkedik! ,H2O2 + 2 H+ + 2 I– = 2 H2O + I2 (oxidálószer); 2 MnO4 – + 6 H+ + 5 H2O2 = 2 Mn2+ + 8 H2O + 5 O2 (redukálószer)
78. Írja fel az ortofoszforsav többlépéses disszociációjának reakcióegyenleteit! ,H3PO4 = H+ + H2PO4- H2PO4- = H+ + HPO42- HPO42- = H+ + PO43-
79. Írja fel a trifoszforsav hidrolízisét szerkezeti képletekkel. Mi jellemző ennek a reakciónak a szabadentalpia-változására?
80. Sorolja fel a Ringer-oldat nélkülözhetetlen összetevőit. Adja meg a Ringer-oldat ozmolaritását! , NaCl; CaCl2; KCl Ozmolaritása: 0.3 osmol
81. Írjon fel egy olyan reakcióegyenletet képletekkel  amelyben a szén-dioxid savanhidridként viselkedik! ,
82. Írja le egy mondatban a lantanoidák orvosi gyakorlatban játszott szerepének elektronszerkezeti magyarázatát! ,Jó kelátkomplex-képzők ezáltal elpusztítják a baktériumokat.
83. Rajzoljon két szerves molekulát szerkezeti képlettel  amelyek egymásnak konstitúciós izomerei. A különbséget szövegesen is indokolja! ,A konstitúciós izomerek az atomok kapcsolódási sorrendjében különböznek.
84. Rajzoljon két szerves molekulát projektív képlettel  amelyek egymásnak konfigurációs izomerei. A különbséget szövegesen is indokolja! ,Különbség: a nagy térkitöltésű csoportok a kettős kötés által meghatározott viszonyitási sík azonos vagy ellentétes oldalán helyezkednek el.
85. Rajzoljon két szerves molekulát Newman-projekcióval (vagy fűrészbak-ábrázolással)  amelyek egymásnak konformációs izomerei. A különbséget szövegesen is indokolja! ,Különbség: a molekula különböző térbeli elrendsződései; melyek a szigma kötések körüli elfordulással (rotációval) jöhetnek létre.
86. Rajzoljon két szerves molekulát projektív képlettel  amelyek egymásnak enantiomerei. A különbséget szövegesen is indokolja! ,A két molekula nem azonos de tükörképi párt alkot.
87. Definiálja a relatív konfiguráció fogalmát! , A konfigurációt a glicerinaldehidben található kiralitáscentrumhoz viszonyítjuk.; A relatív konfiguráció megmutatja hogy két vagy több sztereocentrum hogyan viszonyul egymáshoz egy adott molekulán belül; vagy két molekula között anélkül hogy a konkrét térbeli elrendeződést meghatároznánk.
88. Rajzolja le a D-tejsav és az L-tejsav szerkezeti képletét a Fischer-projekció használatával! ,
89. Definiálja a diasztereomerek fogalmát. Adjon rá példát projektív képletekkel! ,Diasztereomer vegyületpárt alkotnak az olyan több aszimmetriacentrummal rendelkező optikai izomerek; amelyek a teljes molekulát tekintve nincsenek tükörképi viszonyban egymással; csak részlegesen tükörképei egymásnak.
90. Rajzolja fel a mezo-borkősav molekula projektív képletét. Adja meg a molekula optikai aktivitásának mértékét  és az értéket szövegesen indokolja! ,Optikai aktivitása nincsen mert a 2 kiralitáscentrum forgatása kiegyenlíti egymást. Mezo-borkősav:  Optikai aktivitás: inaktív (optikailag inaktív) ; Indoklás: A mezo-borkősav belső síkkal rendelkezik amely miatt a molekula tükörképe megegyezik önmagával így nem mutat optikai aktivitást.; 
91.Rajzoljon le egy fedő és egy nyitott állású etánmolekulát. Jelölje  hogy melyik az energetikailag kedvezőbb állapot! ,   Fedő állású etán:  Energetikailag kedvezőbb állapot: nyitott állású etán (alacsonyabb energiájú) ,
91.Rajzoljon le egy fedő és egy nyitott állású etánmolekulát. Jelölje  hogy melyik az energetikailag kedvezőbb állapot! ,
92. Rajzolja le és nevezze meg a ciklohexán két szélsőséges konformációs izomerjét! ,
93. Rajzolja le és nevezze meg az 1 2-dimetil-ciklopentán cisz és transz izomerjét! ,
94. Rajzolja le és nevezze meg a 2-butén két izomerjét! ,
95. Írja fel az etén vízaddíciójának reakcióegyenletét szerkezeti képletekkel! ,C2H4 + H2O = CH3CH2OH ,
96. Írja fel az izoprén szerkezeti képletét. Nevezze meg a molekulát szisztematikus névvel! ,
97. Írja fel az acetilén vízaddíciójának reakcióegyenletét szerkezeti képletekkel! ,
98. Rajzolja fel a benzol szerkezeti képletét úgy  hogy a képlet tükrözze a molekula valós elektroneloszlását. Adja meg a molekulában a C-C-C kötésszögek értékét! ,
99. Rajzolja fel szerkezeti képletekkel egy primer alkohol oxidációjának reakcióegyenletét (Milyen vegyületcsaládba tartozik a termék?)!,
100. Rajzolja fel szerkezeti képletekkel egy szekunder alkohol oxidációjának reakcióegyenletét (Milyen vegyületcsaládba tartozik a termék?)!,
101. Rajzolja fel szerkezeti képletekkel az etántiol (etil-merkaptán) enyhe oxidációjának reakcióegyenletét (Milyen vegyületcsaládba tartozik a termék?)! , 
102. Rajzolja le a karbonilcsoportot és jelölje a valós elektroneloszlást! ,        
103. Rajzolja fel szerkezeti képletekkel az aldehidek alkoholaddíciójának reakcióegyenletét (Milyen vegyületcsaládba tartozik a termék?)! ,     
104. Rajzolja fel szerkezeti képletekkel az acetálképződés általános reakcióegyenletét! ,
105. Rajzolja fel szerkezeti képletekkel egy Schiff-bázis képződésének reakcióegyenletét! , 
106. Sorolja fel a Fehling-próbához szükséges vegyszereket (Sikeres Fehling-próba esetén mi reagál mivel?)! ,Réz(II)-szulfát; K-Na-tartarát (komplexképző); lúg (NaOH); A réz(II)-ionok redukálódnak réz(I)-ionokká amelyek a lúgos közeg hatására vörös színű oxid formájában csapódnak ki az oldatból.
107. Rajzolja fel szerkezeti képletekkel az aldehidek oxidációjának reakcióegyenletét (Milyen vegyületcsaládba tartozik a termék?)! , 
108. Rajzolja fel szerkezeti képletekkel az aldehidek redukciójának reakcióegyenletét (Milyen vegyületcsaládba tartozik a termék?)! , 
109. Rajzolja fel szerkezeti képletekkel a ketonok redukciójának reakcióegyenletét (Milyen vegyületcsaládba tartozik a termék?)! , 
110. Rajzolja fel egy keto-enol tautomer pár tagjait szerkezeti képletekkel! ,
111. Rajzolja fel szerkezeti képletekkel egy aldol-addíció (aldol-dimerizáció) reakcióegyenletét! ,     
112. Rajzolja le a karboxilcsoportot és a karboxilát-csoportot úgy  hogy az ábra tükrözze a csoportokon belül a valós elektroneloszlást! ,      
113. Mutassa be egy példán keresztül  hogy a negatív induktív effektus hogyan befolyásolja a karbonsavak savi erősségét! , A molekulán belüli elektroneloszlás nem felel meg a diszkrét kötéseknek. Ez az intramolekuláris effektusok eredménye; Ha az eltolódás szigma-kötésen jön létre akkor induktív ha pí-kötésen akkor mezomer effektusról van szó; Ami az elektront elszívja [pl halogének] az negatív induktív effektus ami “odatolja” [negatív ionok pl karboxilát-csoport] az pozitív induktív effektus; A negatív induktív effektus elősegíti a hidroxilcsoporti elektronszegény hidrogén leválását; Továbbá a protonmentes negatív töltésű hidroxilcsoport és az induktív effektus eredő töltéseltolódása kiegyenlítik egymást stabilizálva az aniont így erősítve a savi erősséget.
114. Rajzolja fel szerkezeti képletekkel  hogy két karbonsavmolekula között hol alakulnak ki hidrogénkötések! ,     
115. Rajzolja fel szerkezeti képletekkel a monokarbonsavak dekarboxileződésének reakcióegyenletét! ,        
116. Rajzolja fel szerkezeti képletekkel a karbonsav-észterek képződésének reakcióegyenletét! ,     
117. Rajzolja fel a piroszőlősav keto- és enol tautomerjeit szerkezeti képletekkel! ,       
118. Rajzolja fel szerkezeti képletekkel egy lakton képződésének reakcióegyenletét! ,   
119. Adja meg a ketontestek nevét és szerkezeti képletét! , Aceton: CH3-CO-CH3 ; Acetoacetát: CH3-CO-CH2-COO⁻ ; β-hidroxibutirát: CH3-CHOH-CH2-COO⁻ ,
120. Rajzoljon fel szerkezeti képletekkel egy olyan reakcióegyenletet  amelyben egy amin acilezése zajlik le! ,
121. Rajzolja fel szerkezeti képletekkel egy laktám képződésének reakcióegyenletét! ,
