question,answer
Nevezze meg a kémiai jelátvitel fajtáit (5)?, endokrin; parakrin; juxtrakrin; autokrin; intrakrin
Nevezzen meg 2 anyagot; mely intracelluláris receptoron keresztül hat?, szteroidok; tiroxin; retinsav
Nevezzen meg 2 anyagot; mely sejtfelszíni receptoron keresztül hat?, inzulin; NGF; EGF; adrenalin
Mik a fehérje kinázok?, fehérjéket foszforiláló enzimek
Milyen típusú protein kinázokat ismer (3)?, szerin/treonin specifikus kináz; tirozin specifikus kináz; kettős specificitású kináz
Nevezzen meg 2 szerin/treonin specifikus protein kinázt?, PKA; PKC; MAPK
Nevezzen meg 2 tirozin specifikus protein kinázt?, NGF-receptor; EGF-receptor; Src; Abl; stb.
Nevezze meg a G-proteinekhez aktív és inaktív állapotban kapcsolódó nukleotidokat?, aktív: GTP; inaktív: GDP
Nevezzen meg 2 hormont; mely heterotrimer G-proteineken keresztül fejti ki hatását?, adrenalin; ADH; ACTH
Nevezzen meg 3 másodlagos messengert a jelátvitelben?, cAMP; DAG; IP3; Ca2+
Melyik enzim hozza létre a cAMP-t és mi az enzim szubsztrátja?, adenil-cikláz; szubsztrátja: ATP
Mi a cAMP célfehérjéje?, PKA
Mi hatástalanítja a cAMP-t?, cAMP-foszfodiészteráz/ciklikus nukleotid foszfodiészteráz
Mely transzkripciós faktor a PKA egyik fő szubsztrátja?, CREB
Nevezzen meg 2 fehérjetípust; melyet a PKA foszforilál?, enzimek; membránfehérjék; transzkripciós faktorok; transzlációs faktorok
Mely anyagból és mit hoz létre a foszfolipáz C?, foszfatidilinozitol-biszfoszfátból (PIP2) diacil-glicerolt (DAG) és inozitol-triszfoszfátot (IP3) hoz létre
Mi a diacil-glicerol (DAG) célenzime?, PKC
Milyen változást okoz az inozitol-triszfoszfát a sejtben?, növeli a citoszól Ca2+-szintjét
Miből áll az AP-1 transzkripciós faktor?, Jun-Fos heterodimer
Nevezzen meg 2 növekedési faktort?, PDGF; EGF; NGF
Mely 3 doménből épülnek fel a növekedési faktor-receptorok?, ligandkötő domén; transzmembrán domén; kináz domén
Nevezze meg az SH2-domén funkcióját?, foszfotirozin felismerése és megkötése
Nevezze meg az SH3-domén funkcióját?, célfehérje megkötése
Milyen fehérje és hogyan aktiválja a Ras-t?, GEF; a GDP-t GTP-re cseréli
Nevezzen meg egy mitogén-aktivált protein kinázt?, ERK; JNK; p38 MAPK
Nevezze meg azt a lipid-kinázt; amely a növekedési faktor-jelátvitelben aktiválódik?, PI3K
Milyen enzimaktivitással rendelkezik a PTEN fehérje?, lipid-foszfatáz
Nevezze meg azt a lipid-foszfatázt; amelyik részt vesz a növekedési faktor-jelátvitelben?, PTEN
Nevezzen meg egy monomer G-fehérjét; amelynek szerepe van a citoszkeleton működésének szabályozásában?, Ral; Rho
Mely mechanizmusok szükségesek a Ras fehérje inaktivációjához (2)?, a Ras fehérjének saját GTPáz aktivitása van; a GAP ezt fokozza
Nevezzen meg 2 citokint?, interferonok; interleukinok; eritropoetin; növekedési hormon; prolaktin
Melyik két fehérje vesz részt a citokin-jelátvitelben a receptoron kívül?, JAK; STAT
Hogyan befolyásolják az interferonok a vírusfertőzést?, gátolják azt
Nevezze meg azokat a transzkripciós faktorokat; amelyek a TGF-β hatását közvetítik?, Smad-dimer
Milyen típusú fehérje a Hedgehog fehérje?, szekretált ligand
Nevezzen meg egy tumor szuppresszor fehérjét amely részt vesz a Wnt-jelátvitelben?, APC fehérje
Írjon egy példát juxtakrin jelátvitelre?, Notch-jelátvitel; transzmembrán EGF-jelátvitel
Írjon egy példát olyan citoplazmatikus transzkripciós faktorra amelyik csak stimuláció következtében transzlokálódik a sejtmagba?, STAT; NFκB; Smad
Melyik transzkripciós faktor aktiválódását váltja ki az IkB-kináz?, NFκB
Nevezzen meg egyet a fokális adhézió tirozin protein kinázai közül?, Src; FAK
Nevezzen meg három transzkripciós faktort; melyek jelátviteli utak végpontjai lehetnek?, AP-1; CREB; STAT
Melyik jelátviteli út károsodása okozhat nephrogen diabetes insipidust?, cAMP-út
Mi a choleratoxin hatásmechanizmusa?, a Gs fehérjék konstitutív aktivációja
Nevezzen meg 3 kórképet; mely jelátviteli utak károsodására vezethető vissza?, II. típusú diabetes mellitus; nephrogen diabetes insipidus; cholera; daganatok
Mi történik az NFκB-jelátvitellel krónikus gyulladásos betegségekben?, aktiválódik
Nevezze meg azt a sejtet; amelyik a petesejt és a spermium fúziójával jön létre?, zigóta
Mit értünk genom-ekvivalencia alatt?, a szervezet minden szomatikus sejtje azonos DNS-állománnyal rendelkezik
Mi az apoptózis?, élettani; aktív sejtpusztulás (programozott sejthalál)
Nevezzen meg 3 stimulust; mely apoptózist idézhet elő?, TNF; növekedési faktorok megvonása; DNS-károsodás; mérgek
Nevezzen meg 3 gént mely szerepet játszik az apoptózis szabályozásában?, bcl-2; bax; bad; p53; myc
Nevezzen meg egy; a Bcl-2 családba tartozó anti-apoptotikus fehérjét?, Bcl-2 fehérje
Nevezzen meg egy; a Bcl-2 családba tartozó pro-apoptotikus fehérjét?, Bax fehérje; Bad fehérje
Nevezze meg az apoptoszóma alkotórészeit (3)?, Apaf-1; citokróm-c; kaszpáz
Mik a kaszpázok?, az apoptózisban részt vevő proteolítikus enzimek
Nevezzen meg 2 betegségtípust melyben az apoptózis csökkent mértéke a probléma?, daganatok; autoimmun betegségek; bizonyos vírusfertőzések
Nevezzen meg 2 kórképet melyben az apoptózis fokozott mértéke okozza a problémát?, acut myocardialis infarctus; Alzheimer-kór; AIDS; Parkinson-kór
Hogy nevezzük azt a folyamatot melynek során egy normális sejt rosszindulatú daganatsejtté alakul át?, malignus transzformáció
Hogy hívjuk a malignus daganatok által képzett távoli áttétet?, metasztázis
Hogy nevezzük az ektodermából vagy az endodermából kiinduló epitheliális malignus tumorokat?, carcinoma
Nevezzen meg 2; mezodermális eredetű malignus tumorféleséget?, sarcoma; lymphoma; leukaemia
Mi a mitotikus index?, az osztódó sejtek aránya egy sejtcsoportban
Nevezzen meg egy elváltozást mely daganatsejt sejtmagvacskájára jellemző lehet?, hipertrófia; fragmentáció
Nevezzen meg egy elváltozást; mely a daganatsejt citoplazmájára jellemző lehet?, mitokondrium-degeneráció; szabad riboszómák számának emelkedése
Milyen jelenség hatására áll le a normális sejtek szaporodása; ha a sejtek egymáshoz érnek?, kontakt inhibíció
Nevezzen meg 2 olyan tulajdonságot; amely a tumorsejtekre jellemző; de a normális sejtekre nem?, növekedési faktor függőség csökkenése; immortalitás; kontakt gátlás megszűnése
Nevezzen meg egy angiogén növekedési faktort?, VEGF; FGF
Milyen hatású a VEGF?, angiogén hatású
Nevezzen meg olyan környezeti hatásokat melyek daganat kialakulásához vezethetnek (3)?, kémiai karcinogének; sugárzás; vírusok
Nevezzen meg 2 olyan DNS-vírust amely emberi tumorképződésért felelőssé tehető?, hepatitis B vírus; Epstein-Barr vírus; humán papillomavírus
Mi történik az onkogén DNS-vírusok genomjával malignus transzformáció során?, beépül a gazdasejt genomjába
Nevezzen meg 2 onkogén DNS-vírust?, SV40; papillomavírus; adenovírusok
Hogy nevezzük azt a sejtet; amelyben egy adott DNS-vírus lítikus fertőzést okoz?, permisszív sejt
Melyik vírusnak tulajdonítunk szerepet az emberi méhnyakrák kifejlődésében?, humán papillomavirus
Melyik vírusnak van szerepe a Burkitt-lymphoma kialakulásában?, Epstein-Barr virus
Hogy nevezzük a retrovírus genomjáról készült DNS-másolatot mely integrálódik a gazdasejt genomjába?, provirus
Hogy hívjuk azt az enzimet; mely a retrovírus genomjáról a provírust létrehozza?, reverz transzkriptáz
Milyen géneket tartalmaz egy gyenge onkogenitású retrovírus (3)?, gag; pol; env
Mi a v-src és hol található meg?, a Rous szarkóma vírusban található retrovirális onkogén
Mi a c-src?, a v-src proto-onkogén/celluláris onkogén homológja
Mit jelent az LTR rövidítés?, long terminal repeat (hosszú láncvégi ismétlődés)
Nevezzen meg 2 retrovirális onkogént?, v-src; v-myc; v-jun
Írjon egy példát olyan retrovirális onkogénre; melynek nem létezik proto-onkogén párja?, nincs ilyen onkogén
Hogy hívjuk azokat a géntípusokat; amelyek mutációja daganatképződéshez vezethet (2)?, proto-onkogének; tumor szuppresszor gének
Milyen hatású mutáció hozza létre a celluláris onkogéneket?, funkciónyerő mutáció
Mi a proto-onkogén fehérjék lehetséges közös funkcionális tulajdonsága (2)?, a sejtosztódás pozitív regulátorai; apoptózis gátlása; differenciáció gátlása
Nevezzen meg 2 olyan mechanizmust; amivel celluláris onkogén jöhet létre?, pontmutáció; transzlokáció; inszerciós mutagenezis; génamplifikáció; deléció
Milyen mechanizmussal jön létre a Burkitt-lymphomára jellemző celluláris onkogén?, reciprok transzlokáció
Milyen gének fúzióját eredményezi a Philadelphia-kromoszóma kialakulása?, bcr/abl
Melyik onkoprotein a Glivec támadáspontja?, Bcr/Abl fúziós fehérje
Milyen mechanizmussal okoznak tumorképződést a gyengén onkogén retrovírusok?, inszerciós mutagenezissel
Milyen mechanizmussal aktiválódik neuroblastomában az N-myc gén?, génamplifikációval
Humán emlődaganat sejtek gyakran rendelkeznek egy amplifikálódott EGF-receptor génnel Nevezze meg ezt a gént?, HER2 / neu
Milyen emlődaganatok kezelésére használják a Herceptint?, melyben a HER2/neu-gén amplifikálódott
Milyen típusú mutáció következik be a tumor szuppresszor génekben mely malignus transzformációt idéz elő?, funkcióvesztő mutáció
Mi a tumor szuppresszor fehérjék lehetséges közös funkcionális tulajdonsága (2)?, a sejtosztódás negatív regulátorai; apoptózis serkentése; differenciáció serkentése
Nevezzen meg 3 tumor szuppresszor fehérjét?, Rb; p53; WT-1
Hogyan fejti ki hatását az Rb fehérje?, bizonyos transzkripciós faktorokat gátol
Milyen genotípus áll a retinoblastoma öröklődő formájának hátterében?, egy örökölt csírasejt-mutáció + egy szomatikus mutáció
Nevezzen meg 2 fehérjecsaládot; melynek expresszióját a p53 fokozza?, Cdk-inhibitorok; repair fehérjék; pro-apoptotikus fehérjék
Mely gének játszanak szerepet az öröklődő emlőrák kialakulásában?, BRCA-1; BRCA-2
Mely tumor szuppresszor fehérjék működését gátolják az onkogén humán papillomavírusok korai fehérjéi (2)?, Rb; p53
Mi a mutátor gének/caretaker tumor szuppresszor gének termékeinek biológiai funkciója?, DNS-integritás fenntartása
A mutátor gének/caretaker tumor szuppresszor gének milyen típusú mutációja fokozza a karcinogenezis kockázatát?, funkcióvesztő mutáció
Milyen epigenetikai mechanizmus vezethet tumor szuppresszor gének inaktivációjához?, promóter hipermetiláció
Hogyan okoz daganatot egy direkt hatású karcinogén?, a DNS-hez kötődve mutációt okoz
Sorolja fel a tumorképződés lépéseit (3)?, iniciáció; promóció; progresszió
Hogy hívjuk azokat a karcinogéneket amelyek csak iniciációt idéznek elő?, inkomplett karcinogén
Hogy hívjuk azokat a karcinogéneket amelyek a tumorképződés teljes folyamatát kiváltják?, komplett karcinogén
Milyen celluláris változás okozza a tumor iniciációját?, mutáció
Milyen hatású anyag a daganatképződés folyamatában a forbolészter?, promoter
Nevezzen meg egy tumor promoter anyagot?, ösztrogén; forbolészter
Milyen hatása van a tumor promotereknek a kezelt sejtekre?, serkentik a proliferációt
Mi alkotja az emberi kromoszómaszerelvényt testi sejtekben?, 22 pár autoszóma és 1 pár ivari kromoszóma
Hogy nevezzük azt a mutációt amely nem öröklődik az utódszervezetre?, szomatikus mutáció
Hogy nevezzük azt a mutációt mely az utódokra öröklődik?, csírasejt-mutáció
Melyik molekuláris biológiai módszer alkalmas a gének kromoszómán belüli elhelyezkedésének megállapítására?, in situ hibridizáció
Mi az oka a sarlósejtes anaemiának?, pontmutáció a β-globin génben
Nevezzen meg 2 betegségtípust melyben molekuláris diagnózis állítható fel?, öröklődő betegségek; rosszindulatú daganatok; fertőző betegségek
Nevezzen meg 2 módszert mellyel kimutatható a pontmutáció?, PCR; szekvenálás; DNS-chip
Nevezzen meg 2 módszert mellyel egy adott gén vagy génszakasz deléciója kimutatható?, PCR; multiplex PCR; in situ hibridizáció
Nevezzen meg egy módszert mellyel a Philadelphia-transzlokáció kimutatható?, PCR; FISH
Nevezzen meg egy módszert mellyel egy adott gén amplifikációja kimutatható?, PCR; FISH
Nevezzen meg 2 módszert mellyel fertőző betegségek kórokozói kimutathatók?, PCR; in situ hibridizáció
Nevezzen meg 2 a génterápiában alkalmazott vektort?, retrovírus; adenovírus; liposzóma
Milyen mechanizmussal okozhatnak szövődményeket a retrovirális génterápiás vektorok?, inszerciós mutagenesis
